qseqid	pident	min_pident	K	P	C	O	F	G	S
LT969432.1	64.706	54.706	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela badiostigma
LM525018.1	65.6	55.6	Eukaryota	Arthropoda	Insecta	Psocoptera	Cladiopsocidae	Cladiopsocus	Cladiopsocus sp. 3.2.2004.14
LM525075.1	65.6	55.6	Eukaryota	Arthropoda	Insecta	Psocoptera	Cladiopsocidae	Cladiopsocus	Cladiopsocus sp. 3.2.2004.14
AF364507.1	76.923	66.923	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
AM040258.1	72.816	62.816	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
JN035720.1	72.816	62.816	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ343273.1	78.095	68.095	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ203156.1	79.245	69.245	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
FJ230775.1	78.302	68.302	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
EU719112.1	79.048	69.048	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ466405.1	79.048	69.048	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ466404.1	79.048	69.048	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ343270.1	78.095	68.095	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
MN256531.1	80.952	70.952	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
FJ230774.1	79.245	69.245	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
FJ230776.1	79.245	69.245	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ203146.1	77.143	67.143	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
