qseqid	pident	min_pident	K	P	C	O	F	G	S
AB084129.1	100	95	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB282848.1	100	95	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AB379922.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius gibelio
AB707769.1	100	95	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Onychogomphus	Onychogomphus viridicostus
AB770486.1	100	95	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AC114402.2	100	95	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
AE014295.3	99.731	94.731	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
AF038484.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
AF090337.1	99.526	94.526	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya americana
AJ247040.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Parachondrostoma	Parachondrostoma toxostoma
AJ247045.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
AJ247054.1	99.548	94.548	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Squalius	Squalius cephalus
AJ247059.1	99.548	94.548	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Sarmarutilus	Sarmarutilus rubilio
AJ247066.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Scardinius	Scardinius erythrophthalmus
AJ247070.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius auratus
AP006786.1	100	95	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AP010775.1	100	95	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
AP010888.1	100	95	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
AP010890.1	100	95	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
AP011210.1	99.07	94.07	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Blicca	Blicca bjoerkna
AP011212.1	99.07	94.07	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Vimba	Vimba melanops
AP014658.1	100	95	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
AP017443.1	100	95	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AP022579.1	99.459	94.459	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium boenickei
