qseqid	pident	min_pident	K	P	C	O	F	G	S
5O60_A	100	99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
5ZET_A	100	99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
6DZP_A	100	99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
AB084129.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB084130.1	98.63	97.63	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos agrammus
AB093099.1	95.679	94.679	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium nigrogilvum
AB105447.1	99.528	98.528	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
AB121981.1	99.061	98.061	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Luciogobius	Luciogobius grandis
AB162640.1	95.909	94.909	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus waleckii
AB236175.1	95.726	94.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236178.1	95.726	94.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236182.1	95.726	94.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB378749.1	100	99	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
AB378750.1	100	99	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
AB379922.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius gibelio
AB522655.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula leana
AB522656.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AB522657.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522658.1	99.187	98.187	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522659.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522660.1	97.581	96.581	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522661.1	98.374	97.374	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522662.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522663.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522664.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522665.1	98.361	97.361	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522669.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522678.1	98.214	97.23	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522680.1	98.305	97.319	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522681.1	98.374	97.374	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522683.1	99.18	98.18	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB763992.1	98.63	97.63	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos agrammus
AB770486.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AC114402.2	100	99	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
AE008692.2	96.505	95.505	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
AE014295.3	99.731	98.731	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
AE015451.2	100	99	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
AE016825.1	95.031	94.031	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
AE017180.2	99.728	98.728	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens
AF038484.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
AF038487.1	96.364	95.364	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Notemigonus	Notemigonus crysoleucas
AF038999.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AF067274.1	98.148	97.148	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Padogobius	Padogobius martensii
AF081851.1	95	94	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Mylocheilus	Mylocheilus caurinus
AF088897.1	96.505	95.505	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
AF090337.1	100	99	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya americana
AF117351.1	96.505	95.505	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
AF152023.1	97.561	96.561	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula australis
AF152024.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AF152028.1	96.721	95.721	Eukaryota	Mollusca	Bivalvia	Veneroida	Sphaeriidae	Pisidium	Pisidium milium
AF154776.1	97.546	96.546	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinus	Eristalinus punctulatus
AF154777.1	96.933	95.933	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinus	Eristalinus punctulatus
AF154778.1	96.933	95.933	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinus	Eristalinus punctulatus
AF173566.1	100	99	Eukaryota	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus glaucoides
AF173567.1	95.631	94.631	Eukaryota	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	Podiceps auritus
AF177134.1	98.78	97.78	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia	Strauzia vittigera
AF177135.1	98.78	97.78	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia	Strauzia intermedia
AF212055.1	99.383	98.383	Eukaryota	Arthropoda	Insecta	Orthoptera	Rhaphidophoridae	Ceuthophilus	Ceuthophilus latens
AF266051.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Gomphus	Gomphus graslinii
AF266053.1	99.394	98.394	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Onychogomphus	Onychogomphus forcipatus
AF266075.1	98.788	97.788	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Onychogomphus	Onychogomphus forcipatus
AF266076.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Ophiogomphus	Ophiogomphus severus
AF320601.1	96.694	95.694	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Congeria	Congeria kusceri
AF324191.1	95	94	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius incognitus
AF324193.1	96.804	95.804	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius sanguinolentus
AF324194.1	95	94	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius tentacularis
AF324528.1	96.296	95.296	Eukaryota	Arthropoda	Insecta	Hemiptera	Reduviidae	Triatoma	Triatoma patagonica
AF363031.1	100	99	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Anser	Anser albifrons
AF364507.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AF364508.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AF370876.1	100	99	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
AF373591.1	96.117	95.117	Eukaryota	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Nannopterum	Nannopterum auritus
AF428238.1	100	99	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius parvicornis
AF428239.1	99.543	98.543	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius parvicornis
AF428241.1	96.804	95.804	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius sanguinolentus
AF476103.1	99.73	98.73	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unknown	secondary endosymbiont of Dysmicoccus brevipes
AF476104.1	99.73	98.73	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unknown	secondary endosymbiont of Dysmicoccus neobrevipes
AJ247040.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Parachondrostoma	Parachondrostoma toxostoma
AJ247045.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
AJ247054.1	99.548	98.548	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Squalius	Squalius cephalus
AJ247055.1	98.182	97.182	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Squalius	Squalius cephalus
AJ247058.1	97.685	96.685	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Telestes	Telestes muticellus
AJ247060.1	96.364	95.759	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Chondrostoma	Chondrostoma soetta
AJ247066.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Scardinius	Scardinius erythrophthalmus
AJ247070.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius auratus
AJ548773.1	95.726	94.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AJ748693.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748695.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748698.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748699.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748701.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748702.1	97.059	96.059	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748703.1	95.098	94.098	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ748706.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AM040257.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AM040258.1	95.098	94.098	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AM180756.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AM180757.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AM292538.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus sp. Almenara
AM398435.2	99.545	98.545	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus glanis
AM849034.1	97.844	96.844	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter michiganensis
AP005993.1	97.273	96.273	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Lepomis	Lepomis macrochirus
AP006013.1	96.804	95.804	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Cheilodactylidae	Cheilodactylus	Cheilodactylus zonatus
AP006618.1	99.723	98.723	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia farcinica
AP006786.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
