qseqid	pident	min_pident	K	P	C	O	F	G	S
CP015518.1	98.91	98.91	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus
CP015455.1	99.183	99.183	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus
X87291.1	97.838	97.838	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus
CP017173.1	97.838	97.838	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
CP017171.1	97.568	97.568	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
CP017174.1	97.838	97.838	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
CP017169.1	97.838	97.838	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
CP017172.1	97.838	97.838	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
CP017170.1	97.838	97.838	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella aurantiaca
LR134405.1	98.108	98.108	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parahaemolyticus
CP038817.1	98.108	98.108	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter pneumotropicus
FM991722.1	98.656	98.656	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes
FM991719.1	96.721	96.721	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes
JX144331.1	96.721	96.721	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella pyogenes
KX128089.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
CP040931.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023198.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023193.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP045532.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP034770.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP034192.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
LR655209.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023196.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023194.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
LR134348.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP045646.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023197.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP033841.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023195.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP023199.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium angulatum
CP014241.1	95.187	95.187	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
CP012150.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
NR_077007.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia sp.
M88466.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia alni
M55343.1	98.63	98.63	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Frankia alni
JF424163.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rimosus
CP029192.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces kanamyceticus
CP047562.1	95.146	95.146	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum tuberosum
KF226725.1	96.667	96.667	Eukaryota	mbk:tnf	Oomycota	Saprolegniales	Saprolegniaceae	Saprolegnia	Saprolegnia ferax
JN209966.1	97.579	97.579	Eukaryota	Porifera	Demospongiae	Spongillida	Spongillidae	Ephydatia	Ephydatia muelleri
DQ459280.1	95.726	95.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
HM449119.1	97.59	97.59	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
MH300636.1	97.59	97.59	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
MH300622.1	97.59	97.59	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
U55843.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
DQ666843.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
LC191203.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
HQ402925.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
FJ174888.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
KX420660.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
HM449120.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
AF370876.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
MK000268.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
LC191205.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
MK000254.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
MH300623.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
EU882875.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
LC191204.1	100	100	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus gammarus
MK483627.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483608.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483601.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483614.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483615.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483642.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483621.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483600.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483605.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483634.1	99.156	99.156	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483609.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483640.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483603.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483611.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483641.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483644.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483617.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483599.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483612.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483598.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483595.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483645.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483602.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483613.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483596.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
MK483623.1	99.578	99.578	Eukaryota	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla	Anguilla anguilla
