qseqid	pident	min_pident	K	P	C	O	F	G	S
CP012150.1	100	100	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
AY648140.1	97.531	97.531	Eukaryota	Arthropoda	Insecta	Hemiptera	Hermatobatidae	Hermatobates	Hermatobates weddi
GQ865988.1	93.827	93.827	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium whartoni
AB282848.1	100	100	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
KT207451.1	95.679	95.679	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium nigrogilvum
AY952484.2	100	100	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	Psenes	Psenes cyanophrys
DQ459280.1	95.726	95.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB084129.1	100	100	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AB770486.1	100	100	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AP006786.1	100	100	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AY583112.1	99.545	99.545	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AP017443.1	100	100	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
KR362879.1	100	100	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AY742549.1	100	100	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
AY742548.1	99.083	99.083	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
JN681070.1	97.619	97.619	Eukaryota	Bryozoa	Gymnolaemata	Ctenostomatida	Paludicellidae	Paludicella	Paludicella articulata
KU318350.1	98.374	98.374	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
