qseqid	pident	min_pident	K	P	C	O	F	G	S
5O60_A	100	99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
5ZET_A	100	99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
6DZP_A	100	99	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium smegmatis
AB002113.1	100	99	Eukaryota	Arthropoda	Malacostraca	Decapoda	Dotillidae	Ilyoplax	Ilyoplax pusilla
AB055624.1	100	99	Eukaryota	Mollusca	Bivalvia	Unionida	Unionidae	Pronodularia	Pronodularia japanensis
AB084129.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB084130.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos agrammus
AB093099.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium nigrogilvum
AB105447.1	100	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
AB110257.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Dipteromimidae	Dipteromimus	Dipteromimus tipuliformis
AB121981.1	100	99	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Luciogobius	Luciogobius grandis
AB127076.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Centroptilum	Centroptilum sp. Umi1
AB162640.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus waleckii
AB205420.1	100	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	Cubiceps	Cubiceps paradoxus
AB205424.1	100	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	Psenes	Psenes cyanophrys
AB236175.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236176.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236178.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236181.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236182.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB236185.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB253862.1	100	99	Eukaryota	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	Pterostichus biexcisus
AB257222.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ctenophorinia	Ctenophorinia christianae
AB265377.1	100	99	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae	Alcis	Alcis angulifera
AB265388.1	100	99	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae	Descoreba	Descoreba simplex
AB265397.1	100	99	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae	Myrioblephara	Myrioblephara cilicornaria
AB265404.1	100	99	Eukaryota	Arthropoda	Insecta	Lepidoptera	Geometridae	Psyra	Psyra bluethgeni
AB282848.1	100	99	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AB378749.1	100	99	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
AB378750.1	100	99	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
AB379922.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Carassius	Carassius gibelio
AB465919.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Isosturmia	Isosturmia japonica
AB466325.1	100	99	Eukaryota	Bryozoa	Gymnolaemata	Ctenostomatida	Paludicellidae	Paludicella	Paludicella articulata
AB499943.1	100	99	Eukaryota	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Merobruchus	Merobruchus insolitus
AB522655.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula leana
AB522656.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AB522657.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522658.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522659.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522660.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522661.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522662.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522663.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522664.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522665.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula largillierti
AB522669.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522678.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522680.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522681.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB522683.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula japonica
AB699946.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Exorista	Exorista hyalipennis
AB699949.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Exorista	Exorista sabahensis
AB707767.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Nihonogomphus	Nihonogomphus viridis
AB707768.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Nihonogomphus	Nihonogomphus viridis
AB707769.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Onychogomphus	Onychogomphus viridicostus
AB707922.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Corduliidae	Macromidia	Macromidia ishidai
AB711598.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Polymitarcyidae	Ephoron	Ephoron shigae
AB711633.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Polymitarcyidae	Ephoron	Ephoron eophilum
AB763992.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos agrammus
AB770486.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB856930.1	100	99	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela oyamai
AB856939.1	100	99	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela badiostigma
AB856941.1	100	99	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Coryphosmila	Coryphosmila dolabrata
AB860299.1	100	99	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
AB874297.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Polymitarcyidae	Ephoron	Ephoron shigae
AB918943.1	100	99	Eukaryota	Arthropoda	Insecta	Psocoptera	Cladiopsocidae	Cladiopsocus	Cladiopsocus sp. 3.2.2004.14
AC008282.4	100	99	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
AC091312.8	100	99	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
AC104845.2	100	99	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryza	Oryza sativa
AC110540.7	100	99	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
AC114402.2	100	99	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
AC134449.3	100	99	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
AC145301.4	100	99	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
AC146766.2	100	99	Eukaryota	Streptophyta	Magnoliopsida	Poales	Poaceae	Oryza	Oryza sativa
AC150251.1	100	99	Bacteria	unknown	unknown	unknown	unknown	unknown	uncultured bacterium zdt-33i5
AC187614.2	100	99	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
AC188306.2	100	99	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
AC189261.2	100	99	Eukaryota	Streptophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassica	Brassica rapa
AC235342.1	100	99	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine max
AC235899.2	100	99	Eukaryota	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Glycine	Glycine max
AC239435.2	100	99	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum lycopersicum
AC246204.4	100	99	Eukaryota	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum lycopersicum
AE008692.2	100	99	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
AE014295.3	100	99	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
AE015451.2	100	99	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
AE016822.1	100	99	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leifsonia	Leifsonia xyli
AE016825.1	100	99	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
AE017180.2	100	99	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens
AF038484.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Rutilus	Rutilus rutilus
AF038487.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Notemigonus	Notemigonus crysoleucas
AF038996.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Dreissena	Dreissena rostriformis
AF038997.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Dreissena	Dreissena polymorpha
AF038998.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Mytilopsis	Mytilopsis leucophaeata
AF038999.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AF067270.1	100	99	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Neogobius	Neogobius nigricans
AF067271.1	100	99	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Gobius	Gobius paganellus
AF067274.1	100	99	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Padogobius	Padogobius martensii
AF067279.1	100	99	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Zebrus	Zebrus zebrus
AF081851.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Mylocheilus	Mylocheilus caurinus
AF088897.1	100	99	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
AF090337.1	100	99	Eukaryota	Chordata	Aves	Anseriformes	Anatidae	Aythya	Aythya americana
AF117351.1	100	99	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis
AF152022.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula africana
AF152023.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula australis
AF152024.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Corbicula	Corbicula fluminea
AF152025.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Corbiculidae	Cyanocyclas	Cyanocyclas limosa
AF152028.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Sphaeriidae	Pisidium	Pisidium milium
AF154776.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinus	Eristalinus punctulatus
AF154777.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinus	Eristalinus punctulatus
AF154778.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Syrphidae	Eristalinus	Eristalinus punctulatus
