qseqid	pident	min_pident	K	P	C	O	F	G	S
CP012159.1	100	90	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Chondromyces	Chondromyces crocatus
CP046243.1	100	90	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari
NR_076387.1	100	90	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus
X87291.1	85.106	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
CP017174.1	100	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
CP017170.1	100	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
CP017169.1	100	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
CP017172.1	100	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
CP017173.1	100	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
CP017171.1	99.73	0	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
